GeneID	Symbol	Synonyms	description	type_of_gene
128318129	LOC128318129	-	CD48 antigen-like	protein-coding
128318130	LOC128318130	-	uncharacterized LOC128318130	ncRNA
128318131	LOC128318131	-	probable G-protein coupled receptor 160	pseudo
128318132	LOC128318132	-	E3 ubiquitin/ISG15 ligase TRIM25-like	protein-coding
128318133	LOC128318133	-	carcinoembryonic antigen-related cell adhesion molecule 21-like	protein-coding
128318134	LOC128318134	-	transmembrane protein 272-like	protein-coding
128318135	LOC128318135	-	uncharacterized LOC128318135	ncRNA
128318136	LOC128318136	-	uncharacterized LOC128318136	protein-coding
128318137	LOC128318137	-	uncharacterized LOC128318137	ncRNA
128318138	LOC128318138	-	E3 SUMO-protein ligase ZBED1-like	protein-coding
128318139	LOC128318139	-	uncharacterized LOC128318139	protein-coding
128318140	LOC128318140	-	butyrophilin subfamily 3 member A3-like	protein-coding
128318141	LOC128318141	-	GMP reductase 2-like	protein-coding
128318142	LOC128318142	-	carcinoembryonic antigen-related cell adhesion molecule 5-like	protein-coding
128318143	LOC128318143	-	leukocyte immunoglobulin-like receptor subfamily B member 1	protein-coding
128318144	LOC128318144	-	B-cell receptor CD22-like	protein-coding
128318145	LOC128318145	-	uncharacterized LOC128318145	protein-coding
128318146	LOC128318146	-	uncharacterized LOC128318146	pseudo
128318147	LOC128318147	-	uncharacterized LOC128318147	pseudo
128318148	LOC128318148	-	myotilin-like	protein-coding
128318149	LOC128318149	-	obscurin-like	protein-coding
128318150	LOC128318150	-	titin-like	protein-coding
128318151	LOC128318151	-	uncharacterized LOC128318151	protein-coding
128318152	LOC128318152	-	low affinity immunoglobulin gamma Fc region receptor II-b-like	protein-coding
128318153	LOC128318153	-	basement membrane-specific heparan sulfate proteoglycan core protein-like	protein-coding
128318154	LOC128318154	-	Fc receptor-like protein 5	protein-coding
128318155	LOC128318155	-	B-cell receptor CD22-like	protein-coding
128318156	LOC128318156	-	carcinoembryonic antigen-related cell adhesion molecule 5-like	protein-coding
128318157	LOC128318157	-	uncharacterized LOC128318157	protein-coding
128318158	LOC128318158	-	E3 ubiquitin-protein ligase TRIM39-like	protein-coding
128318159	LOC128318159	-	placenta-specific gene 8 protein-like	protein-coding
128318160	LOC128318160	-	uncharacterized LOC128318160	pseudo
128318161	LOC128318161	-	Ig kappa chain V-VI region NQ5-61.1.2-like	other
128318162	LOC128318162	-	T cell receptor gamma variable 3-like	other
128318163	LOC128318163	-	dnaJ homolog subfamily B member 4-like	protein-coding
128318164	LOC128318164	-	piggyBac transposable element-derived protein 4-like	pseudo
128318165	LOC128318165	-	piggyBac transposable element-derived protein 4-like	pseudo
128318166	LOC128318166	-	dnaJ homolog subfamily B member 4-like	pseudo
128318167	LOC128318167	-	piggyBac transposable element-derived protein 4-like	pseudo
128318168	LOC128318168	-	uncharacterized LOC128318168	protein-coding
128318169	LOC128318169	-	T cell receptor alpha variable 21-like	other
128318170	LOC128318170	-	Ig heavy chain V region 1B43-like	other
128318171	LOC128318171	-	uncharacterized LOC128318171	ncRNA
128318172	LOC128318172	-	C-C motif chemokine 4 homolog	protein-coding
128318173	LOC128318173	-	uncharacterized LOC128318173	protein-coding
128318174	LOC128318174	-	T cell receptor alpha variable 12-3-like	other
128318175	LOC128318175	-	piggyBac transposable element-derived protein 4-like	pseudo
128318176	LOC128318176	-	uncharacterized LOC128318176	ncRNA
128318177	LOC128318177	-	T cell receptor alpha variable 22-like	other
128318178	LOC128318178	-	uncharacterized LOC128318178	ncRNA
128318179	LOC128318179	-	uncharacterized LOC128318179	protein-coding
128318180	LOC128318180	-	TRIO and F-actin-binding protein-like	protein-coding
128318181	LOC128318181	-	uncharacterized LOC128318181	ncRNA
128318182	LOC128318182	-	uncharacterized LOC128318182	ncRNA
128318183	LOC128318183	-	uncharacterized LOC128318183	ncRNA
128318184	LOC128318184	-	uncharacterized LOC128318184	ncRNA
128318185	LOC128318185	-	golgin subfamily A member 6-like protein 22	protein-coding
128318186	LOC128318186	-	uncharacterized LOC128318186	ncRNA
128318187	LOC128318187	-	uncharacterized LOC128318187	ncRNA
128318188	LOC128318188	-	T cell receptor alpha variable 12-3-like	other
128318189	LOC128318189	-	golgin subfamily A member 6-like protein 22	protein-coding
128318190	LOC128318190	-	uncharacterized LOC128318190	ncRNA
128318191	LOC128318191	-	T cell receptor alpha variable 12-3-like	other
128318192	LOC128318192	-	T cell receptor alpha variable 12-3-like	other
128318193	LOC128318193	-	T cell receptor alpha variable 12-3-like	other
128318194	LOC128318194	-	T cell receptor alpha variable 12-3-like	other
128318195	LOC128318195	-	T cell receptor gamma variable 4-like	other
128318196	LOC128318196	-	probable non-functional T cell receptor gamma variable	other
128318197	LOC128318197	-	T cell receptor gamma variable 3-like	other
128318198	LOC128318198	-	uncharacterized LOC128318198	protein-coding
128318199	LOC128318199	-	T cell receptor alpha variable 12-3-like	other
128318200	LOC128318200	-	uncharacterized LOC128318200	ncRNA
128318201	LOC128318201	-	uncharacterized LOC128318201	protein-coding
128318202	LOC128318202	-	T cell receptor alpha variable 12-3-like	other
128318203	LOC128318203	-	macrophage mannose receptor 1-like	protein-coding
128318204	LOC128318204	-	piggyBac transposable element-derived protein 4-like	pseudo
128318205	LOC128318205	-	uncharacterized LOC128318205	ncRNA
128318206	LOC128318206	-	uncharacterized LOC128318206	ncRNA
128318207	LOC128318207	-	T cell receptor alpha variable 12-3-like	other
128318208	LOC128318208	-	ubiquitin carboxyl-terminal hydrolase 8-like	protein-coding
128318209	LOC128318209	-	lactose-binding lectin l-2-like	protein-coding
128318210	LOC128318210	-	uncharacterized LOC128318210	ncRNA
128318211	LOC128318211	-	uncharacterized LOC128318211	ncRNA
128318212	LOC128318212	-	inactive histone-lysine N-methyltransferase 2E-like	protein-coding
128318213	LOC128318213	-	tripartite motif-containing protein 16-like	protein-coding
128318214	LOC128318214	-	tripartite motif-containing protein 16-like	protein-coding
128318215	LOC128318215	-	snaclec 5-like	protein-coding
128318216	LOC128318216	-	lithostathine-1-alpha-like	protein-coding
128318217	LOC128318217	-	uncharacterized LOC128318217	ncRNA
128318218	LOC128318218	-	uncharacterized LOC128318218	ncRNA
128318219	LOC128318219	-	uncharacterized LOC128318219	ncRNA
128318220	LOC128318220	-	uncharacterized LOC128318220	protein-coding
128318221	LOC128318221	-	C-C motif chemokine 3-like	protein-coding
128318222	si:cabz01074946.1	-	SLAM family member 8	protein-coding
128318223	LOC128318223	-	uncharacterized LOC128318223	ncRNA
128318224	LOC128318224	-	dnaJ homolog subfamily B member 4-like	protein-coding
128318225	LOC128318225	-	uncharacterized LOC128318225	ncRNA
128318226	LOC128318226	-	uncharacterized LOC128318226	protein-coding
128318227	LOC128318227	-	small nucleolar RNA U3	snoRNA
128318228	LOC128318228	-	small nucleolar RNA U3	snoRNA
128318229	LOC128318229	-	small nucleolar RNA U3	snoRNA
128318230	LOC128318230	-	U2 spliceosomal RNA	snRNA
128318231	LOC128318231	-	small nucleolar RNA U3	snoRNA
128318232	LOC128318232	-	small nucleolar RNA U3	snoRNA
128318233	LOC128318233	-	small nucleolar RNA U3	snoRNA
128318234	LOC128318234	-	small nucleolar RNA U3	snoRNA
128318235	LOC128318235	-	small nucleolar RNA U3	snoRNA
128318236	LOC128318236	-	small nucleolar RNA U3	snoRNA
128318237	LOC128318237	-	small nucleolar RNA U3	snoRNA
128318238	LOC128318238	-	small nucleolar RNA U3	snoRNA
128318239	LOC128318239	-	uncharacterized LOC128318239	pseudo
128318240	LOC128318240	-	small nucleolar RNA U3	snoRNA
128318241	LOC128318241	-	uncharacterized LOC128318241	pseudo
128318242	LOC128318242	-	small nucleolar RNA U3	snoRNA
128318243	LOC128318243	-	small nucleolar RNA U3	snoRNA
128318244	LOC128318244	-	small nucleolar RNA U3	snoRNA
128318245	LOC128318245	-	small nucleolar RNA U3	snoRNA
128318246	LOC128318246	-	uncharacterized LOC128318246	pseudo
128318247	LOC128318247	-	small nucleolar RNA U3	snoRNA
128318248	LOC128318248	-	small nucleolar RNA U3	snoRNA
128318249	LOC128318249	-	U1 spliceosomal RNA	snRNA
128318250	LOC128318250	-	small nucleolar RNA U3	snoRNA
128318251	LOC128318251	-	small nucleolar RNA U3	snoRNA
128318252	LOC128318252	-	small nucleolar RNA U3	snoRNA
128318253	LOC128318253	-	small nucleolar RNA U3	snoRNA
128318254	LOC128318254	-	small nucleolar RNA U3	snoRNA
128318255	LOC128318255	-	small nucleolar RNA U3	snoRNA
128318256	LOC128318256	-	small nucleolar RNA U3	snoRNA
128318257	LOC128318257	-	small nucleolar RNA U3	snoRNA
128318258	LOC128318258	-	small nucleolar RNA U3	snoRNA
128318259	LOC128318259	-	small nucleolar RNA U3	snoRNA
128318260	LOC128318260	-	small nucleolar RNA U3	snoRNA
128318261	LOC128318261	-	small nucleolar RNA U3	snoRNA
128318262	LOC128318262	-	small nucleolar RNA U3	snoRNA
128318263	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318264	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318265	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318266	trnag-ucc	-	transfer RNA glycine (anticodon UCC)	tRNA
128318267	trnag-ucc	-	transfer RNA glycine (anticodon UCC)	tRNA
128318268	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318269	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318270	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318271	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318272	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318273	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318274	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318275	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318276	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318277	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318278	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318279	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318280	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318281	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318282	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318283	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318284	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318285	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318286	trnat-ugu	-	transfer RNA threonine (anticodon UGU)	tRNA
128318287	trnav-cac	-	transfer RNA valine (anticodon CAC)	tRNA
128318288	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318289	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318290	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318291	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318292	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318293	trnav-aac	-	transfer RNA valine (anticodon AAC)	tRNA
128318294	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318295	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318296	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318297	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318298	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318299	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318300	LOC128318300	-	NLR family CARD domain-containing protein 3-like	protein-coding
128318301	LOC128318301	-	uncharacterized LOC128318301	pseudo
128318302	LOC128318302	-	C-type mannose receptor 2-like	protein-coding
128318303	LOC128318303	-	uncharacterized LOC128318303	ncRNA
128318304	LOC128318304	-	uncharacterized LOC128318304	ncRNA
128318305	LOC128318305	-	taste receptor type 2 member 114-like	protein-coding
128318306	LOC128318306	-	uncharacterized LOC128318306	protein-coding
128318307	LOC128318307	-	CD209 antigen-like protein E	protein-coding
128318308	LOC128318308	-	C-type lectin domain family 12 member B-like	protein-coding
128318309	LOC128318309	-	uncharacterized LOC128318309	protein-coding
128318310	LOC128318310	-	uncharacterized LOC128318310	ncRNA
128318311	LOC128318311	-	uncharacterized LOC128318311	ncRNA
128318312	LOC128318312	-	uncharacterized LOC128318312	ncRNA
128318313	LOC128318313	-	uncharacterized LOC128318313	ncRNA
128318314	LOC128318314	-	uncharacterized LOC128318314	protein-coding
128318315	LOC128318315	-	uncharacterized LOC128318315	protein-coding
128318316	LOC128318316	-	uncharacterized LOC128318316	ncRNA
128318317	LOC128318317	-	proline-rich protein 13-like	protein-coding
128318318	LOC128318318	-	uncharacterized LOC128318318	ncRNA
128318319	LOC128318319	-	uncharacterized LOC128318319	ncRNA
128318320	LOC128318320	-	uncharacterized LOC128318320	ncRNA
128318321	LOC128318321	-	uncharacterized LOC128318321	ncRNA
128318322	LOC128318322	-	histone H1-like	protein-coding
128318323	LOC128318323	-	histone H1-like	protein-coding
128318324	LOC128318324	-	histone H1-like	protein-coding
128318325	LOC128318325	-	histone H1-like	protein-coding
128318326	LOC128318326	-	histone H1-like	protein-coding
128318327	LOC128318327	-	histone H1-like	protein-coding
128318328	LOC128318328	-	histone H1-like	protein-coding
128318329	LOC128318329	-	histone H1-like	protein-coding
128318330	LOC128318330	-	histone H1-like	protein-coding
128318331	LOC128318331	-	histone H1-like	protein-coding
128318332	LOC128318332	-	histone H1-like	protein-coding
128318333	LOC128318333	-	histone H1-like	protein-coding
128318334	LOC128318334	-	histone H1-like	protein-coding
128318335	LOC128318335	-	histone H1-like	protein-coding
128318336	LOC128318336	-	histone H1-like	protein-coding
128318337	LOC128318337	-	histone H1-like	protein-coding
128318338	LOC128318338	-	histone H1-like	protein-coding
128318339	LOC128318339	-	histone H1-like	protein-coding
128318340	LOC128318340	-	histone H3	protein-coding
128318341	LOC128318341	-	histone H3	protein-coding
128318342	LOC128318342	-	histone H3	protein-coding
128318343	LOC128318343	-	histone H3	protein-coding
128318344	LOC128318344	-	histone H3	protein-coding
128318345	LOC128318345	-	histone H3	protein-coding
128318346	LOC128318346	-	histone H3	protein-coding
128318347	LOC128318347	-	histone H3	protein-coding
128318348	LOC128318348	-	histone H3	protein-coding
128318349	LOC128318349	-	histone H3	protein-coding
128318350	LOC128318350	-	histone H3	protein-coding
128318351	LOC128318351	-	histone H3	protein-coding
128318352	LOC128318352	-	histone H3	protein-coding
128318353	LOC128318353	-	histone H3	protein-coding
128318354	LOC128318354	-	histone H3	protein-coding
128318355	LOC128318355	-	histone H3	protein-coding
128318356	LOC128318356	-	histone H3	protein-coding
128318357	LOC128318357	-	histone H3	protein-coding
128318358	LOC128318358	-	histone H3-like	protein-coding
128318359	LOC128318359	-	histone H2B-like	protein-coding
128318360	LOC128318360	-	histone H4	protein-coding
128318361	LOC128318361	-	histone H4	protein-coding
128318362	LOC128318362	-	histone H4	protein-coding
128318363	LOC128318363	-	histone H4	protein-coding
128318364	LOC128318364	-	histone H4	protein-coding
128318365	LOC128318365	-	histone H4	protein-coding
128318366	LOC128318366	-	histone H4	protein-coding
128318367	LOC128318367	-	histone H4	protein-coding
128318368	LOC128318368	-	histone H4	protein-coding
128318369	LOC128318369	-	histone H4	protein-coding
128318370	LOC128318370	-	histone H4	protein-coding
128318371	LOC128318371	-	histone H4	protein-coding
128318372	LOC128318372	-	histone H4	protein-coding
128318373	LOC128318373	-	histone H4	protein-coding
128318374	LOC128318374	-	histone H2B-like	protein-coding
128318375	LOC128318375	-	histone H2B-like	protein-coding
128318376	LOC128318376	-	histone H2B-like	protein-coding
128318377	LOC128318377	-	histone H2B-like	protein-coding
128318378	LOC128318378	-	histone H2B-like	protein-coding
128318379	LOC128318379	-	histone H2B-like	protein-coding
128318380	LOC128318380	-	histone H2B-like	protein-coding
128318381	LOC128318381	-	histone H2B-like	protein-coding
128318382	LOC128318382	-	histone H2B-like	protein-coding
128318383	LOC128318383	-	histone H2B-like	protein-coding
128318384	LOC128318384	-	histone H2B-like	protein-coding
128318385	LOC128318385	-	histone H2B-like	protein-coding
128318386	LOC128318386	-	histone H2B-like	protein-coding
128318387	LOC128318387	-	histone H2B-like	protein-coding
128318388	LOC128318388	-	histone H4	protein-coding
128318389	LOC128318389	-	histone H4	protein-coding
128318390	LOC128318390	-	histone H4	protein-coding
128318391	LOC128318391	-	histone H2AX-like	protein-coding
128318392	LOC128318392	-	histone H2AX-like	protein-coding
128318393	LOC128318393	-	histone H2AX-like	protein-coding
128318394	LOC128318394	-	histone H2AX-like	protein-coding
128318395	LOC128318395	-	histone H2AX-like	protein-coding
128318396	LOC128318396	-	histone H2AX-like	protein-coding
128318397	LOC128318397	-	histone H2AX-like	protein-coding
128318398	LOC128318398	-	histone H2AX-like	protein-coding
128318399	LOC128318399	-	histone H3-like	protein-coding
128318400	LOC128318400	-	histone H2AX-like	protein-coding
128318401	LOC128318401	-	uncharacterized LOC128318401	ncRNA
128318402	LOC128318402	-	weak toxin DE-1-like	protein-coding
128318403	LOC128318403	-	uncharacterized LOC128318403	ncRNA
128318404	LOC128318404	-	uncharacterized LOC128318404	ncRNA
128318405	LOC128318405	-	NACHT, LRR and PYD domains-containing protein 12-like	protein-coding
128318406	LOC128318406	-	E3 ubiquitin-protein ligase TRIM35-like	protein-coding
128318407	LOC128318407	-	E3 ubiquitin-protein ligase TRIM35-like	protein-coding
128318408	LOC128318408	-	uncharacterized LOC128318408	ncRNA
128318409	LOC128318409	-	uncharacterized LOC128318409	pseudo
128318410	LOC128318410	-	uncharacterized LOC128318410	ncRNA
128318411	LOC128318411	-	uncharacterized LOC128318411	ncRNA
128318412	LOC128318412	-	uncharacterized LOC128318412	ncRNA
128318413	LOC128318413	-	uncharacterized LOC128318413	ncRNA
128318414	LOC128318414	-	uncharacterized LOC128318414	ncRNA
128318415	LOC128318415	-	uncharacterized LOC128318415	ncRNA
128318416	LOC128318416	-	uncharacterized LOC128318416	ncRNA
128318417	LOC128318417	-	uncharacterized LOC128318417	ncRNA
128318418	LOC128318418	-	weak toxin DE-1-like	protein-coding
128318419	LOC128318419	-	histone-lysine N-methyltransferase SETD5-like	protein-coding
128318420	LOC128318420	-	uncharacterized LOC128318420	ncRNA
128318421	LOC128318421	-	uncharacterized LOC128318421	protein-coding
128318422	LOC128318422	-	uncharacterized LOC128318422	pseudo
128318423	LOC128318423	-	uncharacterized LOC128318423	ncRNA
128318424	LOC128318424	-	uncharacterized LOC128318424	ncRNA
128318425	LOC128318425	-	uncharacterized LOC128318425	protein-coding
128318426	LOC128318426	-	taste receptor type 2 member 129-like	protein-coding
128318427	vwc2l	-	von Willebrand factor C domain containing 2 like	protein-coding
128318428	LOC128318428	-	uncharacterized LOC128318428	ncRNA
128318429	LOC128318429	-	uncharacterized LOC128318429	ncRNA
128318430	LOC128318430	-	uncharacterized LOC128318430	ncRNA
128318431	LOC128318431	-	uncharacterized LOC128318431	pseudo
128318432	LOC128318432	-	UDP-glucuronosyltransferase-like	protein-coding
128318433	LOC128318433	-	uncharacterized LOC128318433	ncRNA
128318434	LOC128318434	-	inactive histone-lysine N-methyltransferase 2E-like	protein-coding
128318435	LOC128318435	-	uncharacterized LOC128318435	ncRNA
128318436	LOC128318436	-	uncharacterized LOC128318436	protein-coding
128318437	LOC128318437	-	uncharacterized LOC128318437	protein-coding
128318438	LOC128318438	-	trichohyalin-like	protein-coding
128318439	LOC128318439	-	uncharacterized LOC128318439	ncRNA
128318440	LOC128318440	-	octapeptide-repeat protein T2-like	protein-coding
128318441	LOC128318441	-	snaclec agglucetin subunit beta-1-like	protein-coding
128318442	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318443	trnas-uga	-	transfer RNA serine (anticodon UGA)	tRNA
128318444	trnar-ucu	-	transfer RNA arginine (anticodon UCU)	tRNA
128318445	trnat-agu	-	transfer RNA threonine (anticodon AGU)	tRNA
128318446	trnan-guu	-	transfer RNA asparagine (anticodon GUU)	tRNA
128318447	trnaw-cca	-	transfer RNA tryptophan (anticodon CCA)	tRNA
128318448	trnak-uuu	-	transfer RNA lysine (anticodon UUU)	tRNA
128318449	trnaw-cca	-	transfer RNA tryptophan (anticodon CCA)	tRNA
128318450	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318451	trnaw-cca	-	transfer RNA tryptophan (anticodon CCA)	tRNA
128318452	trnat-agu	-	transfer RNA threonine (anticodon AGU)	tRNA
128318453	trnat-cgu	-	transfer RNA threonine (anticodon CGU)	tRNA
128318454	trnak-cuu	-	transfer RNA lysine (anticodon CUU)	tRNA
128318455	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318456	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318457	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318458	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318459	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318460	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318461	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318462	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318463	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318464	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318465	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318466	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318467	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318468	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318469	trnaf-gaa	-	transfer RNA phenylalanine (anticodon GAA)	tRNA
128318470	trnam-cau	-	transfer RNA methionine (anticodon CAU)	tRNA
128318471	trnam-cau	-	transfer RNA methionine (anticodon CAU)	tRNA
128318472	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318473	trnam-cau	-	transfer RNA methionine (anticodon CAU)	tRNA
128318474	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318475	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318476	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318477	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318478	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318479	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318480	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318481	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318482	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318483	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318484	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318485	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318486	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318487	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318488	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318489	trnas-uga	-	transfer RNA serine (anticodon UGA)	tRNA
128318490	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318491	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318492	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318493	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318494	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318495	trnas-aga	-	transfer RNA serine (anticodon AGA)	tRNA
128318496	trnal-cag	-	transfer RNA leucine (anticodon CAG)	tRNA
128318497	mt2	-	metallothionein 2	protein-coding
128318498	LOC128318498	-	uncharacterized LOC128318498	ncRNA
128318499	LOC128318499	-	uncharacterized LOC128318499	ncRNA
128318500	LOC128318500	-	uncharacterized LOC128318500	ncRNA
128318501	LOC128318501	-	uncharacterized LOC128318501	ncRNA
128318502	pde8a	-	phosphodiesterase 8A	protein-coding
128318503	LOC128318503	-	uncharacterized LOC128318503	ncRNA
128318504	LOC128318504	-	uncharacterized LOC128318504	protein-coding
128318505	LOC128318505	-	uncharacterized LOC128318505	protein-coding
128318506	LOC128318506	-	uncharacterized LOC128318506	protein-coding
128318507	LOC128318507	-	glycosyltransferase family 92 protein F13G3.3-like	protein-coding
128318508	LOC128318508	-	protein FAM186A-like	protein-coding
128318509	LOC128318509	-	putative proline-rich protein 21	protein-coding
128318510	LOC128318510	-	uncharacterized LOC128318510	ncRNA
128318511	LOC128318511	-	uncharacterized LOC128318511	protein-coding
128318512	LOC128318512	-	metallothionein	protein-coding
128318513	LOC128318513	-	uncharacterized LOC128318513	ncRNA
128318514	LOC128318514	-	uncharacterized LOC128318514	ncRNA
128318515	LOC128318515	-	uncharacterized LOC128318515	ncRNA
128318516	LOC128318516	-	latent-transforming growth factor beta-binding protein 1-like	protein-coding
128318517	LOC128318517	-	uncharacterized LOC128318517	protein-coding
128318518	LOC128318518	-	uncharacterized LOC128318518	ncRNA
128318519	LOC128318519	-	uncharacterized LOC128318519	ncRNA
128318520	LOC128318520	-	uncharacterized LOC128318520	ncRNA
128318521	LOC128318521	-	uncharacterized LOC128318521	ncRNA
128318522	LOC128318522	-	uncharacterized LOC128318522	ncRNA
128318523	LOC128318523	-	uncharacterized LOC128318523	ncRNA
128318524	LOC128318524	-	uncharacterized LOC128318524	ncRNA
128318525	LOC128318525	-	uncharacterized LOC128318525	ncRNA
128318526	LOC128318526	-	uncharacterized LOC128318526	ncRNA
128318527	LOC128318527	-	uncharacterized LOC128318527	ncRNA
128318528	LOC128318528	-	extracellular calcium-sensing receptor-like	protein-coding
128318529	LOC128318529	-	long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	pseudo
128318530	LOC128318530	-	long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	pseudo
128318531	LOC128318531	-	histidine-rich glycoprotein-like	protein-coding
128318532	LOC128318532	-	uncharacterized LOC128318532	protein-coding
128318533	LOC128318533	-	long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	pseudo
128318534	LOC128318534	-	uncharacterized LOC128318534	ncRNA
128318535	LOC128318535	-	vomeronasal type-2 receptor 26-like	protein-coding
128318536	LOC128318536	-	uncharacterized LOC128318536	protein-coding
128318537	LOC128318537	-	uncharacterized LOC128318537	pseudo
128318538	LOC128318538	-	trichohyalin-like	protein-coding
128318539	LOC128318539	-	uncharacterized LOC128318539	protein-coding
128318540	LOC128318540	-	uncharacterized LOC128318540	ncRNA
128318541	LOC128318541	-	uncharacterized LOC128318541	ncRNA
128318542	LOC128318542	-	uncharacterized LOC128318542	ncRNA
128318543	LOC128318543	-	uncharacterized LOC128318543	ncRNA
128318544	LOC128318544	-	uncharacterized LOC128318544	ncRNA
128318545	LOC128318545	-	B-type lectin plumieribetin-like	pseudo
128318546	LOC128318546	-	B-type lectin plumieribetin-like	pseudo
128318547	LOC128318547	-	macrophage mannose receptor 1-like	protein-coding
128318548	LOC128318548	-	B-type lectin plumieribetin-like	protein-coding
128318549	LOC128318549	-	B-type lectin plumieribetin-like	protein-coding
128318550	LOC128318550	-	long-chain specific acyl-CoA dehydrogenase, mitochondrial-like	pseudo
128318551	LOC128318551	-	uncharacterized LOC128318551	ncRNA
128318552	LOC128318552	-	uncharacterized LOC128318552	ncRNA
128318553	LOC128318553	-	uncharacterized LOC128318553	ncRNA
