GeneID	Symbol	Synonyms	description	type_of_gene
113534219	cog7	-	component of oligomeric golgi complex 7	protein-coding
113534220	slco2a1	-	solute carrier organic anion transporter family, member 2A1	protein-coding
113534221	rragd	-	ras-related GTP binding D	protein-coding
113534222	LOC113534222	-	cytochrome b5 reductase 4	protein-coding
113534223	plppr4b	plppr4	phospholipid phosphatase related 4b	protein-coding
113534224	txndc16	-	thioredoxin domain containing 16	protein-coding
113534225	msmp2	si:ch1073-70f20.1	microseminoprotein, prostate associated 2	protein-coding
113534226	LOC113534226	-	C-C chemokine receptor type 3	protein-coding
113534227	rpl18	-	ribosomal protein L18	protein-coding
113534228	smndc1	-	survival motor neuron domain containing 1	protein-coding
113534229	naglu	-	N-acetylglucosaminidase, alpha	protein-coding
113534230	LOC113534230	-	protein FAM171A2	protein-coding
113534231	zc3h12aa	-	zinc finger CCCH-type containing 12Aa	protein-coding
113534232	cct3	-	chaperonin containing TCP1, subunit 3 (gamma)	protein-coding
113534233	galcb	-	galactosylceramidase b	protein-coding
113534234	stx12l	stx12	syntaxin 12, like	protein-coding
113534235	myh14	-	myosin, heavy chain 14, non-muscle	protein-coding
113534236	LOC113534236	cabyr	cyclin-dependent kinase 12	protein-coding
113534237	gja1a	cx40.8	gap junction protein alpha 1a	protein-coding
113534238	si:dkey-260g12.1	-	tumor necrosis factor receptor superfamily member 14	protein-coding
113534239	luzp1	-	leucine zipper protein 1	protein-coding
113534240	m6pr	-	mannose-6-phosphate receptor (cation dependent)	protein-coding
113534241	dorip1	c10h14orf28|cunh14orf28	dopamine receptor interacting protein 1	protein-coding
113534242	cdk1	-	cyclin-dependent kinase 1	protein-coding
113534243	LOC113534243	-	5S ribosomal RNA	rRNA
113534244	LOC113534244	-	uncharacterized LOC113534244	pseudo
113534245	LOC113534245	-	small nucleolar RNA SNORA29	snoRNA
113534246	LOC113534246	-	small Cajal body-specific RNA 1	ncRNA
113534247	trnaq-cug	-	transfer RNA glutamine (anticodon CUG)	tRNA
113534248	trnae-uuc	-	transfer RNA glutamic acid (anticodon UUC)	tRNA
113534249	trnar-acg	-	transfer RNA arginine (anticodon ACG)	tRNA
113534250	trnah-gug	-	transfer RNA histidin (anticodon GUG)	tRNA
113534251	trnah-gug	-	transfer RNA histidin (anticodon GUG)	tRNA
113534252	trnal-caa	-	transfer RNA leucine (anticodon CAA)	tRNA
113534253	trnak-uuu	-	transfer RNA lysine (anticodon UUU)	tRNA
113534254	trnat-ugu	-	transfer RNA threonine (anticodon UGU)	tRNA
113534255	trnar-acg	-	transfer RNA arginine (anticodon ACG)	tRNA
113534256	trnah-gug	-	transfer RNA histidin (anticodon GUG)	tRNA
113534257	nr1h4	-	nuclear receptor subfamily 1, group H, member 4	protein-coding
113534258	gpib	gpi	glucose-6-phosphate isomerase b	protein-coding
113534259	prpf18	-	PRP18 pre-mRNA processing factor 18 homolog (yeast)	protein-coding
113534260	agk	-	acylglycerol kinase	protein-coding
113534261	prr16	-	proline rich 16	protein-coding
113534262	wfdc1	-	WAP four-disulfide core domain 1	protein-coding
113534263	morf4l1	-	mortality factor 4 like 1	protein-coding
113534264	LOC113534264	-	potassium voltage-gated channel subfamily A member 2	protein-coding
113534265	hipk2	-	homeodomain interacting protein kinase 2	protein-coding
113534266	arpp19a	arpp19	cAMP-regulated phosphoprotein 19a	protein-coding
113534268	shq1	-	SHQ1, H/ACA ribonucleoprotein assembly factor	protein-coding
113534269	tbrg1	-	transforming growth factor beta regulator 1	protein-coding
113534270	LOC113534270	cacna2d1	voltage-dependent calcium channel subunit alpha-2/delta-1	protein-coding
113534271	LOC113534271	-	uncharacterized LOC113534271	ncRNA
113534272	fzd9b	fzd9	frizzled class receptor 9b	protein-coding
113534273	tph2	-	tryptophan hydroxylase 2 (tryptophan 5-monooxygenase)	protein-coding
113534274	bida	-	BH3 interacting domain death agonist	protein-coding
113534275	ccdc22	-	coiled-coil domain containing 22	protein-coding
113534276	LOC113534276	-	E3 ubiquitin-protein ligase TRIM39-like	protein-coding
113534277	rfx4	-	regulatory factor X, 4	protein-coding
113534278	iqch	-	IQ motif containing H	protein-coding
113534279	c6h15orf61	cunh15orf61	chromosome 6 C15orf61 homolog	protein-coding
113534280	zgc:109913	-	regulator of G-protein signaling 9-binding protein	protein-coding
113534281	bcl2l10	-	BCL2 like 10	protein-coding
113534282	cdh13	-	cadherin 13, H-cadherin (heart)	protein-coding
113534283	rxylt1	-	ribitol xylosyltransferase 1	protein-coding
113534284	meak7	-	MTOR associated protein, eak-7 homolog	protein-coding
